22.5,Fp2,0.884
133.5,T3,0.888
134,C3,0.889
267,F7,0.851
331,T3,0.883
368,F4,0.865
401,Fp1,0.871
403,Fp2,0.884
468.5,Fp2,0.871
489,T3,0.861
489.5,C4,0.859
550,Fp2,0.887
562.5,Fp2,0.874
565,Fp2,0.868
836.5,P4,0.874
837,T5,0.856
853.5,Fp1,0.875
886.5,A2,0.868
1121.5,O1,0.877
1160.5,O1,0.868
1161,Fp2,0.876
1163,O2,0.879
1294,T4,0.875
1294.5,T4,0.87
1324.5,T3,0.869
1575,F4,0.897
1842,O1,0.856
1897.5,T6,0.877
2120.5,T6,0.852
2193.5,Fp2,0.856
2316.5,A1,0.891
2421.5,Pz,0.865
2792.5,A1,0.871
2832.5,P4,0.852
3045,Fp1,0.878
3047.5,Fp1,0.879
3053.5,A1,0.9
3359,Pz,0.878
3426.5,F7,0.867
3447.5,T5,0.859
3609,T3,0.872
3781,F7,0.886
3888.5,Fp2,0.854
3912,T3,0.86
3960.5,Pz,0.857
4011.5,F8,0.87
4031,T5,0.898
4031.5,P4,0.889
4045,Fp1,0.851
4048.5,Fp1,0.899
4092.5,A2,0.873
4118,Fp2,0.86
4132.5,Fp1,0.851
4202.5,Fp1,0.893
4208.5,T3,0.868
4256.5,F8,0.869
4271,Fp2,0.894
4301.5,O1,0.855
4314.5,Fp1,0.868
4385.5,Fp2,0.863
4464.5,Fp1,0.878
4475.5,Fp2,0.85
4491,Fp1,0.885
4613,Fp2,0.899
4636.5,Fp2,0.861
4660,Fp2,0.888
4698,Fp2,0.886
4732,Fp1,0.875
4790,Fp2,0.867
4826.5,Fp2,0.873
5013.5,F8,0.896
5019.5,T4,0.885
5023,F3,0.865
5027,P3,0.876
5030.5,C4,0.872
5032,Fz,0.889
5032.5,A2,0.875
5034,T4,0.852
5034.5,Pz,0.851
5037,F3,0.858
5044.5,A2,0.884
5046,P3,0.865
5047,Pz,0.896
5047.5,T3,0.851
5051.5,A1,0.896
5055,T5,0.887
5057,F3,0.887
5059,F4,0.854
5060,Cz,0.852
5063.5,A1,0.9
5069.5,F7,0.858
5070.5,P3,0.899
5076,T4,0.855
5081,F8,0.88
5081.5,Pz,0.85
5082.5,F8,0.882
5086,C4,0.898
5092,A1,0.873
5095,F4,0.876
5098.5,A2,0.886
5103.5,O1,0.864
5107,T4,0.89
5110,F3,0.86
5111.5,Pz,0.864
5112,A2,0.887
5114.5,A1,0.875
5116.5,F4,0.876
5120.5,T6,0.895
5127.5,C4,0.899
5137,T5,0.891
5140.5,A2,0.855
5150,T5,0.895
5180,Fp2,0.871
5273.5,Fp1,0.884
5278,O2,0.87
5293,Fp2,0.886
5321.5,Fp2,0.877
5350,Fp2,0.866
5376.5,A2,0.885
5405,Fp1,0.88
5438.5,Fp2,0.875
5451.5,Fp2,0.86
5606.5,P4,0.885
5634.5,O2,0.876
5635,C3,0.868
5654,O2,0.851
5672.5,A1,0.869
5673,Fp2,0.869
5679.5,F7,0.894
5698,C4,0.883
5753.5,Fp1,0.885
5758.5,T4,0.884
5765,F8,0.897
5839,T5,0.852
5840.5,A2,0.878
5845.5,Fp1,0.89
5846.5,Fp2,0.854
5918,F7,0.873
5945,T6,0.9
5965,Fp2,0.864
5975.5,Fp1,0.875
6027,Fz,0.863
6031,Fp1,0.884
6036,Fp1,0.88
6043.5,Fp1,0.883
6082,Fp2,0.888
6091,Fp2,0.858
6119.5,T5,0.853
6151.5,Fp1,0.865
6173.5,Fp2,0.884
6200.5,Fp2,0.899
6207,Fp2,0.852
6235,T6,0.855
6244.5,Fp2,0.853
6259.5,Fp2,0.895
6349,Fp1,0.872
6395,Fp1,0.851
6548.5,Fp2,0.864
6560.5,Fz,0.852
6619,Fp2,0.878
6622,Fp1,0.882
6630,Fp2,0.855
6677,Fp1,0.879
6710,Fp2,0.877
6711,Fp2,0.874
6733,Fp2,0.895
6736.5,Fp2,0.879
6762.5,Fp1,0.899
6798.5,Fp1,0.884
6818,Fp1,0.89
6841,Fp2,0.896
6862.5,Fp2,0.856
6941.5,Fp1,0.85
7001,Fp1,0.889
7136.5,Fp2,0.858
7158.5,Fp2,0.874
7192.5,Fp2,0.864
7265.5,T3,0.854
7309.5,Fp1,0.897
7331,Fp2,0.895
7345,C3,0.893
7397.5,Fp1,0.859
7399,Fp2,0.875
7405.5,T3,0.868
7416,Fp2,0.887
7468,Fp1,0.866
7478,Fp1,0.87
7536,Fp2,0.88
7598,Fp2,0.87
7681,Fp2,0.887
7735,Fp1,0.883
7822.5,F7,0.861
7869,T4,0.871
7913.5,Fp2,0.89
7984,Fp1,0.864
7985.5,Fp2,0.853
7995,A1,0.88
