22,Fp1,0.841
56,Fp2,0.817
65,Fp2,0.833
133.5,Cz,0.809
183,A1,0.809
212.5,Fp2,0.848
244,Fp2,0.806
331,P3,0.827
368,F7,0.826
517,O1,0.801
560.5,Fp1,0.826
592,O2,0.826
649,A1,0.84
718,O2,0.823
720,O2,0.819
724,T3,0.833
820.5,O1,0.807
836.5,T6,0.841
837,T6,0.823
1068.5,A1,0.839
1160.5,A1,0.826
1294,O2,0.836
1548.5,T4,0.83
1595.5,O2,0.83
1905,T5,0.804
2041.5,F8,0.807
2120.5,F8,0.841
2165.5,C4,0.8
2172.5,P3,0.814
2173,O2,0.843
2204.5,F7,0.81
2205,C4,0.845
2399.5,Fp1,0.846
2414,Fp1,0.82
2415,C4,0.823
2478,Fp1,0.819
2492,Fz,0.817
2792.5,T5,0.846
2833,O2,0.805
3007,Fp2,0.803
3008,Fp1,0.804
3202.5,T4,0.809
3234,T5,0.83
3359,P4,0.826
3427,A1,0.811
3635,T3,0.814
3680.5,A2,0.815
3748.5,T5,0.843
3759.5,Fz,0.822
3887.5,Fp2,0.806
3888,Fp2,0.831
3944,Fp1,0.838
3967,F8,0.847
3968,Fp1,0.804
4015,F7,0.838
4016,F8,0.805
4094.5,Fp1,0.814
4103,F7,0.808
4214,C3,0.825
4262.5,F7,0.825
4293,O1,0.829
4399,Fp2,0.831
4433.5,Fp2,0.808
4503.5,Fp2,0.814
4505,Fp1,0.815
4511.5,Fp2,0.812
4515,Fp1,0.813
4556.5,F7,0.819
4569,Fp1,0.812
4583,Fp1,0.822
4858,Fp2,0.822
4871.5,Fp2,0.845
4920.5,Fp2,0.802
4950,Fp1,0.847
5011.5,A1,0.805
5016.5,F8,0.815
5023,T4,0.82
5026,T4,0.844
5029,A1,0.833
5030.5,Cz,0.815
5031,Cz,0.827
5034,Cz,0.809
5038,T5,0.814
5040.5,O1,0.831
5041,F8,0.843
5046.5,O2,0.841
5047.5,F8,0.835
5049.5,C3,0.822
5051.5,P3,0.819
5052,C4,0.839
5055,T3,0.846
5057,P4,0.846
5060,A1,0.845
5063,C4,0.812
5064.5,A1,0.807
5066.5,C3,0.822
5069,F4,0.801
5074,F8,0.834
5074.5,Cz,0.848
5076,A2,0.806
5079.5,Fz,0.801
5081,A2,0.849
5086,F8,0.823
5095,A2,0.846
5095.5,T5,0.81
5096.5,O1,0.846
5098.5,T3,0.824
5104,C4,0.809
5105,C4,0.804
5111,F3,0.83
5116.5,T6,0.802
5127,Fz,0.844
5132.5,T6,0.841
5133.5,Fp2,0.827
5143.5,T4,0.838
5144.5,P4,0.843
5146,F8,0.824
5180,Fp1,0.801
5260,Fp1,0.84
5265,Fp2,0.827
5333,Fp1,0.836
5365.5,Fp2,0.848
5384,A1,0.846
5405,Fp2,0.844
5410.5,Fp1,0.823
5444,Fp1,0.808
5608,Fp1,0.811
5608.5,F3,0.837
5612,O2,0.826
5635.5,Pz,0.829
5720.5,Fp2,0.838
5815.5,F8,0.806
5824,Fp1,0.83
5839.5,T5,0.804
5878,C3,0.837
5910.5,F4,0.805
5926.5,T3,0.811
6014,F7,0.83
6022.5,T6,0.808
6027,F7,0.803
6031,F7,0.827
6117.5,Fp1,0.844
6134.5,A2,0.829
6244.5,Fp1,0.849
6265.5,Fp2,0.84
6266,Fp2,0.826
6327.5,Fp2,0.834
6331,Fp2,0.826
6335.5,Fp1,0.833
6365,Fp1,0.809
6460.5,Fp1,0.846
6485,Fp2,0.84
6489.5,C3,0.838
6518.5,Fp1,0.809
6561,O1,0.843
6597,Fp1,0.805
6657,Fp2,0.828
6677,Fp2,0.81
6691,Fp1,0.823
6697.5,Fp2,0.801
6702,Fp2,0.808
6711,Fp1,0.832
6751,Fp2,0.842
6762.5,Fp2,0.847
6936,Fp2,0.824
6959,Fp1,0.808
6972.5,Fp1,0.849
6977,F8,0.826
7014,Fp2,0.805
7109.5,Fp2,0.809
7131,Fp1,0.806
7229,Fp2,0.812
7234.5,Fp1,0.82
7257,Fp2,0.829
7300.5,Fp2,0.832
7309,Fp2,0.839
7324.5,Fp2,0.838
7345,Fp1,0.809
7385,Fp2,0.812
7475.5,Fp1,0.827
7512,Fp2,0.848
7535.5,Fp2,0.809
7612,Fp1,0.838
7788,Fp1,0.836
7809,Fp1,0.801
7869,A2,0.814
7914.5,Fp2,0.848
7916.5,F8,0.819
8000,Fp1,0.826
8013.5,Fp2,0.838
8090,Fp2,0.844
8168.5,Fp2,0.845
8185.5,Fp1,0.849
8196,Fp1,0.848
8253.5,Fp1,0.845
8271.5,Fp2,0.846
8402,Fp1,0.846
8406,Fp2,0.816
8413,P3,0.808
8522,O2,0.806
8545.5,C3,0.841
8546,A1,0.809
8557.5,T4,0.807
8619,A1,0.815
8645.5,Fp2,0.807
8718,P4,0.81
8721,Fp2,0.8
8775,Fp1,0.82
8844,Fp2,0.81
8872,Fp1,0.832
8897.5,Fp1,0.845
8911,Fp2,0.848
8917.5,Cz,0.801
8939,Fp2,0.814
8943.5,Fp2,0.807
8965,Fp1,0.812
9066.5,Fp2,0.844
9072.5,Fp1,0.826
9099.5,Fp1,0.832
9129,Fp2,0.824
9161.5,Fp1,0.816
9190.5,T5,0.846
9226,Fp2,0.8
9237,T5,0.808
9297.5,A2,0.822
9331.5,Fp1,0.82
9349,Fp2,0.842
9364.5,O1,0.844
9396,Fp1,0.803
9405.5,Fp2,0.818
9445,Fp2,0.838
9488.5,Fp1,0.824
9541,F7,0.839
9563,Fp1,0.814
9565,Fp1,0.833
9569.5,Fp2,0.816
9620.5,Fp1,0.811
9631,Fp2,0.844
9644.5,Fp2,0.835
9658.5,Fp1,0.824
9674.5,Fp1,0.802
9694,Fp2,0.803
9765,Fp1,0.822
9792.5,Fp2,0.828
9843,Fp2,0.802
9867,Fp2,0.8
9908.5,Fp1,0.835
9950,Fp2,0.809
9980,Fp1,0.804
10037.5,Fp1,0.841
10086,Fp1,0.84
10092,Fp2,0.816
10189,Fp2,0.822
10230.5,Fp2,0.841
10269.5,Fp1,0.808
10276.5,Fp1,0.822
10334.5,Fp2,0.824
10366,F3,0.825
10366.5,P3,0.811
10369,Fp1,0.825
10530,Fp2,0.846
10551.5,T4,0.804
10659.5,O2,0.822
10750.5,T4,0.813
10751,P3,0.849
10753,Fp2,0.808
10759,P3,0.833
10761.5,Pz,0.848
10763.5,C4,0.819
10769,Fz,0.815
10779,O2,0.836
10791,F3,0.822
10840.5,Pz,0.826
10903.5,T4,0.82
10905,T5,0.848
10949,O2,0.846
10957.5,O2,0.824
10958.5,O2,0.811
10983,T4,0.813
11002,F7,0.828
11028,F3,0.839
11050.5,O1,0.806
11670,O1,0.804
11674,A2,0.835
11795.5,Fz,0.803
11945,Fp1,0.842
11986,C4,0.817
11989.5,Fp1,0.836
12061,O1,0.83
12061.5,A2,0.802
12199,F8,0.81
12210,A1,0.805
12210.5,T5,0.81
12211,T5,0.817
12353.5,T3,0.831
12678,O2,0.809
12701.5,T4,0.826
12733,A1,0.846
12805,O2,0.801
13000,C4,0.818
13036.5,T3,0.825
13046,O2,0.833
13101.5,A2,0.804
13655,A1,0.814
13677.5,Fp2,0.823
