58,Fp1,0.949
133.5,A1,0.902
185,Fp2,0.906
216.5,Fp1,0.929
297.5,Fp2,0.913
323.5,Fp1,0.927
331,T4,0.948
371,C3,0.947
494,Fp1,0.921
520.5,Fp1,0.931
531,Fp2,0.905
538.5,T5,0.947
560.5,Fp2,0.937
679.5,Fp2,0.945
716.5,O2,0.944
718.5,O2,0.949
801.5,F7,0.901
806.5,O2,0.949
807,O2,0.926
836,T5,0.922
836.5,A1,0.943
853.5,Fp2,0.937
1163,O1,0.916
1389.5,O1,0.95
1402.5,O2,0.948
1548.5,A2,0.919
1575,C3,0.924
1595,O1,0.913
1621,A1,0.939
1893,T5,0.906
1897.5,O1,0.901
1982,O1,0.93
2039.5,A2,0.928
2172.5,Pz,0.925
2202.5,Fp1,0.933
2203,Fp1,0.927
2329,T3,0.923
2336,Fp2,0.946
2338,Fp2,0.906
2353,Fp1,0.939
2355,P3,0.937
2360,Fp1,0.91
2401.5,Fp2,0.924
2409,P3,0.947
2422.5,Fp1,0.932
2497.5,T5,0.935
2815.5,A2,0.912
2832.5,A2,0.93
3025.5,Fp1,0.943
3047.5,Fp2,0.91
3083.5,Fp2,0.92
3170,T4,0.905
3376,A2,0.915
3397,T3,0.907
3426,A2,0.938
3437,T5,0.944
3609,A2,0.909
3641.5,O1,0.92
3667.5,Fp1,0.922
3696.5,Fz,0.916
3711.5,Fp1,0.944
3745.5,F7,0.938
3795.5,Fp1,0.939
3824,A1,0.937
3863.5,Fp1,0.939
3912,T5,0.944
3917,Fp1,0.942
3925.5,Fp2,0.925
3971.5,Fp1,0.934
4014.5,Fp2,0.95
4031,Cz,0.914
4041,Fp2,0.948
4057.5,Fp1,0.904
4061,A1,0.908
4061.5,A1,0.901
4066.5,T4,0.948
4078,C3,0.905
4091,F8,0.906
4184,Fp1,0.934
4198.5,Fz,0.939
4206,Fp2,0.926
4247,T4,0.939
4261.5,A1,0.917
4269,Fp2,0.924
4272.5,F7,0.914
4290,F7,0.946
4302.5,Fp1,0.928
4317,Fp1,0.924
4361,Fp2,0.905
4377,Fp1,0.912
4414,Fp2,0.923
4424,Fp1,0.904
4428,Fp1,0.934
4464.5,Fp2,0.912
4478.5,Fp1,0.929
4499.5,Fp2,0.912
4511.5,Fp1,0.946
4521,Fp1,0.909
4530.5,Fp2,0.942
4559.5,Fp2,0.948
4583,Fp2,0.944
4636.5,Fp1,0.927
4797,Fp1,0.933
4819,Fp2,0.935
4826.5,Fp1,0.94
4871.5,Fp1,0.908
5036.5,Fz,0.922
5037.5,T5,0.926
5039.5,P4,0.95
5042,A1,0.944
5044,T5,0.94
5044.5,C3,0.937
5045.5,Fp2,0.933
5046,T4,0.94
5048,C3,0.945
5051.5,T4,0.916
5052.5,P4,0.902
5053,F7,0.949
5053.5,Cz,0.927
5055,F4,0.912
5057.5,Fp1,0.945
5058,T6,0.91
5060,P4,0.942
5062.5,T6,0.923
5069,T3,0.915
5069.5,O1,0.933
5073,A1,0.906
5074.5,F3,0.922
5075.5,Fz,0.92
5076,Fp1,0.943
5077,Cz,0.901
5077.5,A1,0.908
5081,T3,0.933
5081.5,Fp2,0.923
5082,Fp2,0.914
5086,P3,0.902
5086.5,Fp1,0.917
5093,T5,0.91
5098,T5,0.942
5098.5,Fp2,0.928
5099,F3,0.95
5100.5,Fz,0.907
5103,P4,0.928
5104,T6,0.907
5104.5,F8,0.926
5107,Cz,0.933
5109.5,O1,0.931
5111.5,T3,0.94
5112,F4,0.903
5114.5,T4,0.941
5117,P3,0.918
5123,T3,0.918
5124,C4,0.929
5125,Pz,0.914
5133.5,F4,0.916
5134.5,Fp2,0.937
5135,F4,0.933
5136.5,F7,0.912
5141.5,C4,0.913
5142,Pz,0.906
5143.5,P3,0.928
5144,F7,0.905
5147.5,T3,0.908
5174,F7,0.944
5186,F7,0.931
5191,Fp1,0.939
5220,Fp2,0.944
5232,Fp2,0.942
5237.5,Fp1,0.921
5265.5,Fp2,0.944
5287,Fp1,0.947
5301.5,Fp2,0.904
5326,Fp2,0.933
5327.5,Fp1,0.903
5365.5,Fp1,0.947
5384,C4,0.901
5415.5,Fp1,0.931
5438.5,Fp1,0.926
5608,T5,0.924
5608.5,P3,0.939
5634.5,O1,0.95
5635,Cz,0.914
5660,Fp2,0.932
5678.5,Fp1,0.928
5697.5,Fp2,0.923
5722,Fp2,0.92
5815.5,T4,0.929
5830,Fp2,0.911
