11.5,Fp1,0.629
62,O2,0.619
112,O1,0.65
156,Fp1,0.642
157.5,Fp1,0.654
232,Fp1,0.608
279,Fp2,0.699
307,Fp2,0.64
329,Fp1,0.665
390.5,Fp2,0.6
396.5,Fp2,0.679
509,A1,0.634
554,C4,0.607
564.5,Fp2,0.63
588.5,Fp1,0.612
603.5,Fp1,0.611
658,F7,0.609
702.5,O1,0.699
789,O2,0.678
791.5,T5,0.678
801.5,T3,0.637
882,Fp1,0.695
890,Fp2,0.63
1100.5,T6,0.653
1160,C3,0.631
1230,F7,0.631
1294,O1,0.646
1468,F7,0.649
1598.5,O2,0.639
1603.5,O2,0.648
1605.5,Fp1,0.601
1611.5,T3,0.623
1737,T3,0.675
1877,A1,0.648
1881,O2,0.674
1893,F7,0.607
1914.5,T5,0.633
1938.5,A1,0.603
1983,C3,0.672
1984.5,T3,0.669
1993.5,O1,0.628
2010,A1,0.602
2121,Pz,0.61
2166.5,Fp1,0.667
2172.5,C4,0.631
2176.5,T4,0.625
2178,Fp1,0.658
2199.5,Fp1,0.622
2201.5,Fp2,0.654
2204.5,A1,0.604
2205,P3,0.699
2233,Fp1,0.621
2279.5,T6,0.649
2316.5,T5,0.646
2347.5,P4,0.643
2364.5,Fp2,0.677
2391.5,Fp1,0.631
2412,Fp1,0.633
2415.5,T3,0.633
2416,C4,0.608
2422,F7,0.628
2429.5,O1,0.636
2723,A2,0.695
2792.5,Fp1,0.65
2832.5,T6,0.631
2833,C4,0.68
2909.5,Fp1,0.632
2921.5,P3,0.605
2983,Fp1,0.62
3010.5,A1,0.603
3078.5,Fp1,0.639
3083.5,Fp1,0.656
3106,Fp1,0.669
3202.5,F8,0.655
3233,A1,0.613
3239,T5,0.671
3376,F8,0.607
3397,O2,0.646
3397.5,P4,0.606
3423.5,T5,0.617
3426,A1,0.619
3437.5,T5,0.682
3634.5,P3,0.691
3642.5,F3,0.617
3741.5,Fz,0.653
3748.5,O1,0.685
3760.5,Fp1,0.608
3774,T4,0.622
3863.5,Fp2,0.65
3879,O2,0.648
3912,T6,0.605
3928,Fp2,0.663
3935.5,Fp2,0.65
3950.5,O2,0.627
3963,Fp1,0.697
3974,Fp1,0.65
3985.5,O1,0.643
4008.5,Fp1,0.659
4031,C4,0.644
4031.5,F8,0.679
4043.5,A2,0.696
4048.5,Fp2,0.638
4062,A1,0.638
4063,P4,0.689
4069,F8,0.653
4071.5,T3,0.627
4080,A2,0.648
4091,A2,0.628
4161,A1,0.6
4213,Fp2,0.61
4218,A2,0.608
4238,A2,0.624
4238.5,Fp2,0.655
4253,Fp2,0.647
4260,Fp2,0.698
4269.5,C3,0.622
4284,C3,0.692
4286,T3,0.697
4292,Fp1,0.645
4292.5,Fp2,0.659
4331,Pz,0.63
4399,Fp1,0.635
4444.5,Fp1,0.688
4484,Fp1,0.693
4486,Fp1,0.667
4558.5,F7,0.647
4568,Fp1,0.628
4591,Fp2,0.625
4597,Fp1,0.683
4605,Fp1,0.666
4610,P3,0.621
4634.5,Fp2,0.608
4636.5,Pz,0.615
4649.5,T6,0.688
4673,Fp2,0.653
4675,Fp1,0.677
4701.5,Fp1,0.622
4726,Fp2,0.661
4750,T5,0.611
4784.5,Fp2,0.624
4787.5,Fp1,0.643
4793.5,Fp2,0.622
4883.5,T5,0.611
4931.5,Fp1,0.605
4995.5,Fp2,0.663
5001.5,T6,0.614
5028,F4,0.618
5034.5,F4,0.601
5037.5,F4,0.632
5039.5,A2,0.608
5041,F4,0.629
5042.5,Fp2,0.632
5044.5,Pz,0.603
5045.5,A2,0.651
5046,Fp2,0.602
5047,A2,0.663
5047.5,A2,0.671
5049.5,P3,0.678
5053.5,P4,0.68
5054,F3,0.601
5077.5,P3,0.683
5080.5,P4,0.604
5081.5,F4,0.606
5082,T5,0.7
5082.5,A2,0.681
5086,Pz,0.635
5093.5,P4,0.65
5095,C4,0.651
5095.5,C4,0.685
5116,P3,0.634
5121.5,T3,0.699
5122.5,Pz,0.66
5124,T3,0.615
5124.5,Fp2,0.693
5125,Fp2,0.661
5129,P4,0.637
5129.5,O1,0.661
5130,T6,0.656
5131,P4,0.685
5132.5,C4,0.605
5140.5,F4,0.698
5143.5,P4,0.645
5144.5,T4,0.666
5145.5,F3,0.664
5162.5,A1,0.625
5191,Fp2,0.698
5212.5,Fp1,0.608
5265,Fp1,0.612
5265.5,Fp1,0.64
5269,Fp1,0.661
5326,Fp1,0.667
5335,Fp1,0.629
5349.5,Fp1,0.61
5367,Fp2,0.685
5381,Fp1,0.63
5418,Fp2,0.646
5425.5,T6,0.67
5514,Fp2,0.675
5533,Fp2,0.648
5573,Fp1,0.642
5606.5,P3,0.673
5607,Cz,0.661
5609,O1,0.628
5634.5,P4,0.604
5657,P3,0.633
5676.5,F8,0.619
5679.5,F8,0.621
5698,T6,0.683
5707,Fp1,0.615
5709.5,C4,0.621
5712,C4,0.626
