22.5,Fp1,0.993
39,Fp1,0.97
60.5,O1,0.998
62,A1,0.966
133.5,Pz,0.977
134,Cz,0.961
144.5,Fp2,0.969
146,Fp2,0.974
183.5,T5,0.959
185,Fp1,0.967
323.5,Fp2,0.991
331,Pz,0.994
331.5,T5,0.999
342,T5,0.952
345.5,Fp2,0.997
346,T5,0.998
347.5,T5,0.989
359.5,Fp1,0.984
368,F3,0.996
379,Fp2,0.983
387,Fp1,0.987
401,Fp2,0.997
401.5,Fp2,0.97
422,Fp1,0.984
465,Fp1,0.973
468.5,Fp1,0.993
489,T4,0.998
489.5,Cz,0.968
513.5,Fp2,0.963
520.5,Fp2,0.97
531,Fp1,0.969
550,Fp1,0.968
557,Fp1,0.981
649,O2,0.959
697,T5,0.999
699,O1,0.971
710,O2,0.996
784.5,O2,0.985
785.5,O2,0.998
802,P3,0.962
816.5,O1,0.999
817,O1,0.999
818.5,O1,0.961
836.5,P3,0.966
837,O2,0.982
837.5,T6,0.957
878.5,Fp2,0.983
1097,O1,0.998
1101,Fp1,0.977
1122,O1,0.999
1122.5,O1,0.995
1160.5,T3,0.989
1275,O2,0.999
1275.5,O2,0.953
1294,T6,0.998
1403,O2,0.965
1577,A2,0.973
1594.5,O1,0.975
1600,O2,0.995
1611.5,A2,0.973
1612,T4,0.951
1692,O2,0.99
1737,O2,0.983
1864.5,T3,0.968
1897,O1,0.985
1897.5,A2,0.98
2120.5,Fp2,0.969
2121,F7,0.985
2172.5,P4,0.958
2173,Pz,0.954
2204.5,Pz,0.974
2205,P4,0.952
2211,Fp1,0.957
2224.5,Fp1,0.962
2316.5,A2,0.957
2336,Fp1,0.997
2338,Fp1,0.972
2348.5,T4,0.995
2353,Fp2,0.995
2354.5,A1,0.953
2355.5,O2,0.993
2360,Fp2,0.969
2365,F4,0.999
2366.5,O1,0.981
2378,Fp2,0.982
2408.5,P3,0.999
2414,Fp2,0.969
2421.5,P3,0.974
2422,Pz,0.956
2477,Fp1,0.957
2832.5,Pz,0.952
2833,T5,0.995
2909,Fp2,0.983
3045.5,Fp2,0.994
3053.5,T4,0.96
3054,T3,0.979
3130,F7,0.985
3131.5,Fp2,0.967
3170,T3,0.968
3233,A2,0.975
3233.5,P4,0.973
3239,T6,0.969
3266,T3,0.962
3358.5,Cz,0.959
3359,P3,0.985
3359.5,T5,0.992
3376,A1,0.971
3397,O1,0.999
3397.5,T6,0.976
3426.5,A1,0.978
3609,O1,0.989
3634.5,F7,0.992
3637.5,Fp2,0.951
3658.5,Fp1,0.964
3667.5,Fp2,0.984
3680.5,T3,0.97
3711.5,Fp2,0.96
3748.5,A2,0.978
3757,Fz,0.999
3824.5,A1,0.995
3829.5,Fp1,0.965
3841.5,Fp2,0.958
3856,Fp1,0.999
3872.5,Fp1,0.992
3877.5,Fp2,0.99
3878,Fp2,0.965
3888,Fp1,0.967
3893,Fp2,0.998
3897.5,Fp2,0.995
3917,Fp2,0.956
3925.5,Fp1,0.989
3939,Fp2,0.989
3960,T6,0.996
3960.5,T6,0.981
3971.5,Fp2,0.984
3977.5,Fp2,0.982
4031,Pz,0.975
4031.5,F3,0.977
4044.5,Fp2,0.975
4049.5,Fp2,0.965
4056,Fp1,0.987
4060.5,A1,0.964
4066,T4,0.981
4066.5,F8,0.993
4067.5,F8,0.982
4070,A1,0.978
4083,Fp1,0.994
4085,A2,0.977
4098.5,Fp1,0.952
4123.5,Fp1,0.987
4133,A1,0.988
4147.5,Fp1,0.993
4158.5,Fp1,0.981
4169.5,F7,0.964
4175,O2,0.961
4184,T4,0.994
4202.5,Fp2,0.996
4205,F7,0.992
4209,F7,0.987
4214,Fp1,0.969
4244,Fp1,0.993
4259.5,F7,0.984
4271,Fp1,0.979
4273.5,Fp2,0.97
4283.5,T4,0.963
4285.5,A1,0.983
4290.5,T4,0.983
4300.5,P3,0.999
4301.5,Fp2,0.954
4302.5,Fp2,0.981
4307,A1,0.991
4310.5,P3,0.98
4311,Fp1,0.979
4316,F8,0.997
4337,Fp1,0.99
4354,Fp2,0.972
4367,Fp1,0.959
4385.5,Fp1,0.983
4399.5,Fp2,0.953
4428,Fp2,0.96
4446.5,Fp2,0.996
4478.5,Fp2,0.99
4499,Fp1,0.985
4530.5,Fp1,0.967
4548.5,Fp2,0.953
4554.5,Fp2,0.958
4559.5,Fp1,0.96
4567,T3,0.994
4591,Fp1,0.962
4628.5,Fp1,0.991
4689.5,Fp2,0.979
4693,Fp2,0.966
4698,Fp1,0.972
4742,Fp1,0.964
4762,Fp2,0.97
4797,Fp2,0.986
4811.5,Fp1,0.992
4819,Fp1,0.993
4820,Fp2,0.983
4822.5,F4,0.994
4831,Fp2,0.971
4842,F8,0.991
4847,Fp2,0.953
4847.5,Fp2,0.981
4988.5,Fp2,0.997
5013,Pz,0.998
5013.5,T5,0.958
5017.5,T5,0.994
5018,F8,0.997
5019.5,Pz,0.999
5020.5,Pz,0.977
5022,O2,0.982
5022.5,F4,0.986
5023,T3,0.998
5024,F4,0.999
5024.5,O1,0.992
5025,F8,0.998
5025.5,C3,0.994
5026,P3,0.968
5026.5,Fz,0.999
